Date,06614800,06746095,07083000,07105945,09034900,09035800,09035900,09047700,09065500,09066000,09066200,09066300,09081600,09107000,09306242,09352900,WY
1997-12-01,,-0.2151474042894752,,,,,,,,,,,,,,,1998
1998-03-01,,-0.585184902632912,,,,,,,,,,,,,,,1998
1998-06-01,,1.0999677082058243,,,,,,,,,,,,,,,1998
1998-09-01,,0.010101566106578676,,,,,,,,,,,,,,,1998
1998-12-01,,0.32684182683078666,,,,,,,,,,,,,,,1999
1999-03-01,,-0.3471036653214755,,,,,,,,,,,,,,,1999
1999-06-01,,-0.009014818538031384,,,,,,,,,,,,,,,1999
1999-09-01,,-0.9478054856341034,,,,,,,,,,,,,,,1999
1999-12-01,,0.7462443469959908,,,,,,,,,,,,,,,2000
2000-03-01,,0.3304214448516963,,,,,,,,,,,,,,,2000
2000-06-01,,-0.2448526437662394,,,,,,,,,,,,,,,2000
2000-09-01,,-0.3210542827056092,,,,,,,,,,,,,,,2000
2000-12-01,,-0.48302863391436457,,,,,,,,,,,,,,,2001
2001-03-01,,-0.4575727105342487,,,,,,,,,,,,,,,2001
2001-06-01,,-0.646019011883042,,,,,,,,,,,,,,,2001
2001-09-01,,-0.2669101922421824,,,,,,,,,,,,,,,2001
2001-12-01,,-0.5810341218580068,,,,,,,,,,,,,,,2002
2002-03-01,,-0.8216189883964858,,,,,,,,,,,,,,,2002
2002-06-01,,-0.6576933637383376,,,,,,,,,,,,,,,2002
2002-09-01,,-0.11328502607037534,,,,,,,,,,,,,,,2002
2002-12-01,,0.008096656679405356,,,,,,,,,,,,,,,2003
2003-03-01,,1.2512115071612715,,,,,,,,,,,,,,,2003
2003-06-01,,0.4474598976308619,,,,,,,,,,,,,,,2003
2003-09-01,,-0.5000312555295322,,,,,,,,,,,,,,,2003
2003-12-01,,-0.8481708692703981,,,,,,,,,,,,,,,2004
2004-03-01,,-0.663619220738689,,,,,,,,,,,,,,,2004
2004-06-01,,0.09329039638051871,,,,,,,,,,,,,,,2004
2004-09-01,,-0.020971253415685478,,,,,,,,,,,,,,,2004
2004-12-01,,-0.7978066113152121,,,,,,,,,,,,,,,2005
2005-03-01,,-0.17338219728886117,,,,,,,,,,,,,,,2005
2005-06-01,,-0.013534668920316947,,,,,,,,,,,,,,,2005
2005-09-01,,-0.014033387491173182,,,,,,,,,,,,,,,2005
2005-12-01,,-0.031055295517626293,,,,,,,,,,,,,,,2006
2006-03-01,,-0.8481536695779187,,,,,,,,,,,,,,,2006
2006-06-01,,0.57025255724378,,,,,,,,,,,,,,,2006
2006-09-01,,0.4330836244250585,,,,,,,,,,,,,,,2006
2006-12-01,,-0.28380853624308844,,,,,,,,,,,,,,,2007
2007-03-01,,-0.707181266829172,,,,,,,,,,,,,,,2007
2007-06-01,,-0.19488644941534153,,,,,,,,,,,,,,,2007
2007-09-01,,0.4290353830040245,,,,,,,,,,,,,,,2007
2007-12-01,,0.6032300422724668,,,,,,,,,,,,,,,2008
2008-03-01,,0.011031121459677922,,,,,,,,,,,,,,,2008
2008-06-01,,-0.32562069687172157,,,,,,,,,,,,,,,2008
2008-09-01,,-0.05691940900901449,,,,,,,,,,,,,,,2008
2008-12-01,,0.20642013693503486,,,,,,,,,,,,,,,2009
2009-03-01,,-0.14182352536543277,,,,,,,,,,,,,,,2009
2009-06-01,,0.10457039917630402,,,,,,,,,,,,,,,2009
2009-09-01,,-0.37528825405950333,,,,,,,,,,,,,,,2009
2009-12-01,,-0.48560021881795307,,,,,,,,,,,,,,,2010
2010-03-01,,0.05099062331923873,,,,,,,,,,,,,,,2010
2010-06-01,,-0.1043889164119328,,,,,,,,,,,,,,,2010
2010-09-01,,0.7893193182893283,,,,,,,,,,,,,,,2010
2010-12-01,,0.5830144610634311,,,,,,,,,,,,,,,2011
2011-03-01,,1.6856308784779654,,,,,,,,,,,,,,,2011
2011-06-01,,0.1575059210116348,,,,,,,,,,,,,,,2011
2011-09-01,,0.11501893728272791,,,,,,,,,,,,,,,2011
2011-12-01,,-0.6338298063566863,,,,,,,,,,,,,,,2012
2012-03-01,,-1.4061138634214558,,,,,,,,,,,,,,,2012
2012-06-01,,-0.09125893127302669,,,,,,,,,,,,,,,2012
2012-09-01,,-0.437982648252853,,,,,,,,,,,,,,,2012
2012-12-01,,-0.2286011812818914,,,,,,,,,,,,,,,2013
2013-03-01,,0.25174212471298973,,,,,,,,,,,,,,,2013
2013-06-01,,-0.5760669844912157,,,,,,,,,,,,,,,2013
2013-09-01,,0.8569581644077623,,,,,,,,,,,,,,,2013
2013-12-01,,0.9152836223194584,,,,,,,,,,,,,,,2014
2014-03-01,,0.42128987927618966,,,,,,,,,,,,,,,2014
2014-06-01,,0.5164595151410917,,,,,,,,,,,,,,,2014
2014-09-01,,0.7866051751724982,,,,,,,,,,,,,,,2014
2014-12-01,,-0.2276159524236192,,,,,,,,,,,,,,,2015
2015-03-01,,-0.21485963064019706,,,,,,,,,,,,,,,2015
2015-06-01,,-0.26351536770911366,,,,,,,,,,,,,,,2015
2015-09-01,,-0.26669086185399854,,,,,,,,,,,,,,,2015
2015-12-01,,-0.2634685419072713,,,,,,,,,,,,,,,2016
